 id |                               hash                               |  created_at   |       applied_at       
----+------------------------------------------------------------------+---------------+------------------------
  1 | 041ee58e46b4646eb9f230447cfc8be7db57593bc7fcd749aa644ef1a886ae59 | 1770853000310 | 2026-02-11 23:36:40+00
  2 | 592bf65cb2d585bcd693c35d1963e4e4f28e1e88257fa01721f78534da8ea16c | 1771495206934 | 2026-02-19 10:00:06+00
  3 | 420a6c278d51cd31521fc45a71b82eed99fc410b667d4d7d4f0367be3adfab79 | 1773081311430 | 2026-03-09 18:35:11+00
  4 | 33372c33bfd599485bde1369aba150b529be620587dd549e8d36b9a4bcc3c3af | 1773081457906 | 2026-03-09 18:37:37+00
  5 | 7ffce75dc5fe3163c883ecfabbd2bebfba38d7e0e185ffa78694282c1bd3d1de | 1773100369290 | 2026-03-09 23:52:49+00
  6 | 0659babc1857218f4c3cbc89f40eb47f9c28ec0b4875145364d044e0cb9f5cb8 | 1773125217919 | 2026-03-10 06:46:57+00
  7 | 573abe8fc9711a84f0b7ce1bf533b6494afce5f641144cfe2ec4bd1f5b860d68 | 1773200000000 | 2026-03-11 03:33:20+00
  8 | c76cb4a13366a3b9a5470927570463d4baabe5e73526d5e1af9a0138ea9f9a60 | 1775800000000 | 2026-04-10 05:46:40+00
  9 | 3f7fb9bc9331d00010a07d785426eff55793df96d618b55c5ae84ee8fb18c4c6 | 1776000000000 | 2026-04-12 13:20:00+00
 10 | 7a5105f1a2c0fd58f06ec795b01d34132e2d65315404dc4ef47f365136a11772 | 1780782746840 | 2026-06-06 21:52:26+00
 11 | 3787a076245eee6e357ba3fbf717f7648e403df14b4a3f404ed82cf0fc8220f7 | 1784000000000 | 2026-07-14 03:33:20+00
 12 | 43e1e38d6e98aee7c6303b15b806e87f9b18a1377fd91f8cf792157c45253d54 | 1785181564412 | 2026-07-27 19:46:04+00
 13 | 805cd9274f5ef82caa7fbc7848d99c2a6cbee753a32687e585cb02b8874f7218 | 1785900686908 | 2026-08-05 03:31:26+00
 14 | 12a7df86d52b3e89031d9f60bf70d0196e69d29950d03d84c254e345a6005c06 | 1785954515007 | 2026-08-05 18:28:35+00
 15 | 8166e8b4258e17dd2afeb981cd99aaf51fb9fa3767bb2800d8c449901c4a91bb | 1786004156368 | 2026-08-06 08:15:56+00
 16 | 8016a092e4ca574316bbda3df593972879760ec89b01251f6b75cd78dd5296fa | 1786724700000 | 2026-08-14 16:25:00+00
 17 | 47e5bfb3152ef9effd33471986166419c0d8b4f48e33f72bb18e403147edaaa5 | 1786725600000 | 2026-08-14 16:40:00+00
 18 | 111e2f1925a08eae5f469b984a90e2b049ad5cfa384b94792febd39b08c53a52 | 1786726200000 | 2026-08-14 16:50:00+00
 19 | b082ba258d04aca5da313983a0e878547d50e2fa171f261b897101edfc446b03 | 1786726800000 | 2026-08-14 17:00:00+00
 20 | 8c1044333172c647f8cbd8ebb7103d88699a1e36755fae9b708c24c6f78550a4 | 1786727400000 | 2026-08-14 17:10:00+00
 21 | 49902bcfaa09c6ab06cd65cc5d4bfe9687017a410d9012dc1c7ba9a934e8d048 | 1786728000000 | 2026-08-14 17:20:00+00
